gene,guide,condition,n_cells,self_log2fc
MRPL47,MRPL47_3,Co-culture,25,-1.190482957383578
BZW2,BZW2_1,Co-culture,73,-1.5268442485157905
RRS1,RRS1_2,Co-culture,25,-0.8140072304449706
NCL,NCL_3,Co-culture,32,-0.6458108590948004
WBP2,WBP2_2,Co-culture,100,-1.2882506249708559
CD44,CD44_1,Co-culture,68,-0.06440220946171042
TIMP3,TIMP3_2,Co-culture,51,-1.141137354695932
TPRKB,TPRKB_2,Co-culture,40,-0.16669772205047148
KCNN4,KCNN4_1,Co-culture,49,-1.1287174836507452
RPSA,RPSA_3,Co-culture,110,-0.28708088953860916
SMAD4,SMAD4_3,Co-culture,68,-0.4374912004609254
TPP1,TPP1_3,Co-culture,78,-0.6434939937088058
SERPINE2,SERPINE2_2,Co-culture,40,-1.573047240650515
TGFB1,TGFB1_1,Co-culture,63,-1.4667381244259705
CTSO,CTSO_2,Co-culture,62,-0.614633775919225
FSTL3,FSTL3_3,Co-culture,76,-1.0039202569314847
CTPS1,CTPS1_1,Co-culture,20,-1.5936720995011322
CDK6,CDK6_1,Co-culture,22,-0.4906438755994935
TAPBPL,TAPBPL_2,Co-culture,92,-0.9076214029301908
TM4SF1,TM4SF1_2,Co-culture,50,-0.8408560404276897
VAT1,VAT1_3,Co-culture,51,-2.507755348440825
E2F1,E2F1_2,Co-culture,43,-1.224192166935484
C19orf48,C19orf48_1,Co-culture,75,-0.004941555784045201
DAG1,DAG1_2,Co-culture,65,-0.42305411280213334
JPT1,JPT1_3,Co-culture,73,-1.0382390318500416
WBP2,WBP2_1,Co-culture,77,-0.8058442215908723
A2M,A2M_1,Co-culture,84,0.0
CDH19,CDH19_1,Co-culture,93,0.0
SLC5A3,SLC5A3_2,Co-culture,62,-0.27040230188199116
KDR,KDR_3,Co-culture,68,0.5145223219814672
HSPA1A,HSPA1A_1,Co-culture,60,-0.5462868148890879
DDX17,DDX17_1,Co-culture,34,-0.7407287729156333
TFAP2A,TFAP2A_1,Co-culture,65,-0.24128574475481057
CDKN1A,CDKN1A_1,Co-culture,82,-1.4566803086413236
STAT3,STAT3_3,Co-culture,49,-0.684328663413621
CXCR4,CXCR4_1,Co-culture,85,0.7539192129298612
TRIM22,TRIM22_2,Co-culture,72,-0.6755192090049553
AEBP1,AEBP1_3,Co-culture,79,-0.7049491329697997
FBXO32,FBXO32_1,Co-culture,86,-0.6716920537043419
LAMP2,LAMP2_1,Co-culture,86,-1.3989125686484034
APOE,APOE_1,Co-culture,73,-0.8160602097528202
SET,SET_2,Co-culture,68,-2.766514354794529
STAT3,STAT3_2,Co-culture,80,-1.0212134949978722
CD274,CD274_1,Co-culture,71,-0.2038406777740375
SLC22A18,SLC22A18_2,Co-culture,70,-1.1036306343855238
CHCHD2,CHCHD2_3,Co-culture,65,-1.1152601202037877
GSN,GSN_2,Co-culture,89,-1.1710558242735218
TP53,TP53_1,Co-culture,52,-0.4229779147536556
IDH2,IDH2_2,Co-culture,95,-0.7591680812780998
CITED1,CITED1_3,Co-culture,78,-0.18892606549437446
SLC5A3,SLC5A3_1,Co-culture,93,-1.1461692905401302
STOM,STOM_2,Co-culture,89,-1.1317116062969692
TXNDC17,TXNDC17_2,Co-culture,52,-1.1678157389778243
MDH2,MDH2_2,Co-culture,58,-0.8580223736069518
B2M,B2M_2,Co-culture,104,-1.4048195834635606
GSN,GSN_1,Co-culture,89,-0.9811954938681393
AEBP1,AEBP1_1,Co-culture,105,-1.7474590707665345
SPINT1,SPINT1_3,Co-culture,89,-0.17273752849847418
S100B,S100B_2,Co-culture,57,-0.01823468190621618
FGFR1,FGFR1_1,Co-culture,114,-0.13003060757526955
SLIRP,SLIRP_1,Co-culture,18,-0.9107792142911441
SOX4,SOX4_3,Co-culture,64,-0.678424270685722
SMAD3,SMAD3_1,Co-culture,79,-0.6972665745367516
ACTA2,ACTA2_2,Co-culture,88,0.10567385683702055
BOLA2B,BOLA2B_3,Co-culture,55,-1.5145729398057148
CCND2,CCND2_2,Co-culture,55,-0.10610330559348191
SSR2,SSR2_2,Co-culture,63,-0.9226632816176144
TP53,TP53_3,Co-culture,79,0.4896516439026872
CDK4,CDK4_2,Co-culture,38,-1.7177812453407217
UBA52,UBA52_3,Co-culture,15,-0.6413418834537944
VAT1,VAT1_1,Co-culture,49,-1.205693228083176
SMAD3,SMAD3_2,Co-culture,111,-0.5807824828156729
SMAD4,SMAD4_2,Co-culture,62,-1.8565372714192765
C19orf48,C19orf48_3,Co-culture,88,-0.3665356543902216
XAGE1A,XAGE1A_3,Co-culture,60,-0.15636527587146856
CTSL,CTSL_2,Co-culture,55,-2.1112361046033397
CYP27A1,CYP27A1_1,Co-culture,71,-1.9107857919871234
NPC2,NPC2_3,Co-culture,76,-1.1848641806581923
UBC,UBC_1,Co-culture,36,1.0318643483571603
HLA-C,HLA-C_1,Co-culture,72,-0.9596147764557101
NMRK1,NMRK1_2,Co-culture,71,-1.1273741645596542
EIF3K,EIF3K_3,Co-culture,46,-0.2920130471417467
MT2A,MT2A_1,Co-culture,46,-0.6378422966137292
CSPG4,CSPG4_3,Co-culture,71,-0.054026856742280104
TIMP1,TIMP1_3,Co-culture,70,-1.0507756831261832
SDC3,SDC3_2,Co-culture,81,-1.3680957687747952
MC1R,MC1R_2,Co-culture,68,0.24812911234436474
HLA-E,HLA-E_2,Co-culture,76,-1.7282297636970967
BOLA2,BOLA2_1,Co-culture,49,-0.08895250914066588
GPNMB,GPNMB_1,Co-culture,94,0.4515956506645061
CITED1,CITED1_1,Co-culture,76,0.7856165315353929
P2RX4,P2RX4_2,Co-culture,29,-0.4485501793663756
SGK1,SGK1_3,Co-culture,53,-0.8592691505505281
ITGA3,ITGA3_1,Co-culture,71,-1.2048085258089143
SERPINE2,SERPINE2_3,Co-culture,61,-1.8478822873509042
SLC25A13,SLC25A13_2,Co-culture,65,-1.17498365678087
STOM,STOM_1,Co-culture,74,-0.9320151137916495
UBC,UBC_3,Co-culture,36,1.561448191085293
ATP5MD,ATP5MD_3,Co-culture,89,-1.5534403677719026
TGFB1,TGFB1_3,Co-culture,77,-2.226919634394166
E2F1,E2F1_1,Co-culture,42,-2.220658786701661
TIMP2,TIMP2_2,Co-culture,24,-1.1179337293981433
CDKN1A,CDKN1A_2,Co-culture,93,-0.5094909994017478
HSPA1A,HSPA1A_2,Co-culture,57,-0.8360809708468689
SGK1,SGK1_2,Co-culture,62,-0.6207364386950509
AHNAK,AHNAK_3,Co-culture,53,-0.7814344752505885
PYGB,PYGB_3,Co-culture,62,-1.175275740344671
DLL3,DLL3_2,Co-culture,62,0.06362157912047038
TXNDC17,TXNDC17_3,Co-culture,48,-1.1622972343010738
APOD,APOD_3,Co-culture,81,-0.01823468190621618
ENPP1,ENPP1_3,Co-culture,56,-0.2592172576637804
MIA,MIA_2,Co-culture,64,-0.6761030960349729
KLF4,KLF4_1,Co-culture,40,0.2961411591968501
EIF3K,EIF3K_1,Co-culture,48,-1.033193505841056
HNRNPA1,HNRNPA1_3,Co-culture,55,-1.0121347338262066
MDH2,MDH2_1,Co-culture,49,-0.9822429756736647
RTP4,RTP4_1,Co-culture,84,-0.5880094034189292
LCP1,LCP1_3,Co-culture,69,-0.6875422908288497
MFGE8,MFGE8_1,Co-culture,71,-0.6882363522570731
S100A6,S100A6_1,Co-culture,62,-1.2833044982461066
AGA,AGA_1,Co-culture,77,-0.7176261814442813
SLC25A13,SLC25A13_3,Co-culture,57,-1.3363153670668604
CCR10,CCR10_1,Co-culture,43,-0.45298168131146654
IFNGR1,IFNGR1_2,Co-culture,85,-1.3364799591430703
SLC22A18,SLC22A18_1,Co-culture,102,-1.7677593771797322
IFNGR1,IFNGR1_3,Co-culture,90,-1.1081608352626247
TM4SF1,TM4SF1_3,Co-culture,75,-0.9120983686411126
GSEC,GSEC_2,Co-culture,77,-1.7778384213728078
NSG1,NSG1_1,Co-culture,55,-0.8077278275094688
EEA1,EEA1_1,Co-culture,63,-1.2252168894918825
FBL,FBL_3,Co-culture,51,-0.4378695893351096
SEC11C,SEC11C_2,Co-culture,67,-1.2951257255675528
AHNAK,AHNAK_1,Co-culture,39,0.035655549761007876
ST3GAL6-AS1,ST3GAL6-AS1_3,Co-culture,74,0.6480936069432953
IRF3,IRF3_1,Co-culture,63,-0.8138652565475936
TPP1,TPP1_2,Co-culture,74,-0.7342348709108654
PFDN4,PFDN4_2,Co-culture,20,-0.1862240408655654
CTSO,CTSO_1,Co-culture,61,-0.8263984401587638
NPC2,NPC2_1,Co-culture,72,-0.7839403320504295
UQCRH,UQCRH_1,Co-culture,18,-2.4451080096865834
ITGA3,ITGA3_2,Co-culture,78,-0.775571669899071
LAMP2,LAMP2_2,Co-culture,83,-0.8812131350091955
ATP1B1,ATP1B1_3,Co-culture,56,-1.72567997914049
TSC22D3,TSC22D3_2,Co-culture,73,0.24053675359938712
LINC00518,LINC00518_1,Co-culture,101,0.0
NDUFA13,NDUFA13_1,Co-culture,23,-1.2862985446988686
PTMA,PTMA_1,Co-culture,51,-1.9970861202272767
CTSA,CTSA_2,Co-culture,50,-1.2960818225441957
JAK2,JAK2_3,Co-culture,135,-0.4775625653175978
PABPC1,PABPC1_1,Co-culture,37,-1.3566152799168119
LCP1,LCP1_2,Co-culture,84,-0.6875422908288497
IRF4,IRF4_3,Co-culture,50,0.0
LGALS3BP,LGALS3BP_1,Co-culture,84,-0.9736934869733485
DDR1,DDR1_1,Co-culture,54,-0.8038190852615825
CHCHD2,CHCHD2_2,Co-culture,87,-1.156265280539327
CD274,CD274_2,Co-culture,92,-1.1864096496130059
SDCBP,SDCBP_3,Co-culture,56,-1.5126366120356627
PIK3IP1,PIK3IP1_1,Co-culture,61,1.1106101626619915
MIA,MIA_1,Co-culture,61,-0.6761030960349729
MC1R,MC1R_1,Co-culture,61,-1.4886042426395145
BZW2,BZW2_2,Co-culture,51,-1.0276142082289692
FMN1,FMN1_1,Co-culture,61,0.6031180381151136
PFDN4,PFDN4_1,Co-culture,79,0.08336295267487047
ENPP1,ENPP1_1,Co-culture,106,-1.4886042426395145
ATP1B1,ATP1B1_2,Co-culture,64,-0.8444285038882612
NONO,NONO_1,Co-culture,68,-1.5573974826244805
NMRK1,NMRK1_3,Co-culture,61,-0.19811986641767287
C6orf226,C6orf226_1,Co-culture,51,-0.5101750636627488
FGFR1,FGFR1_3,Co-culture,84,-0.6931655791313938
ARMC6,ARMC6_1,Co-culture,58,-1.866867034965824
RAB27A,RAB27A_2,Co-culture,76,-0.588911766554486
JAK2,JAK2_1,Co-culture,154,-1.9540526894098862
CDH19,CDH19_3,Co-culture,80,0.0
KDR,KDR_1,Co-culture,69,-0.5312528126819656
RNASEH2A,RNASEH2A_2,Co-culture,20,0.5302649846714327
TOP1MT,TOP1MT_2,Co-culture,45,-0.11104316821036081
TIMP3,TIMP3_3,Co-culture,86,-0.9393388083045644
DDX17,DDX17_3,Co-culture,42,-1.1354249202456597
CD44,CD44_3,Co-culture,101,-0.08662765295207472
ROMO1,ROMO1_2,Co-culture,19,-0.4875717034668051
CSPG4,CSPG4_1,Co-culture,93,-0.054026856742280104
PTMA,PTMA_3,Co-culture,60,-1.0158914308375875
SINHCAF,SINHCAF_3,Co-culture,20,-0.5195099973572574
SLC19A1,SLC19A1_3,Co-culture,61,-0.7731249187950648
RBP7,RBP7_3,Co-culture,60,-0.07159536808071434
PSMB8-AS1,PSMB8-AS1_2,Co-culture,67,-0.7634783103311709
CMSS1,CMSS1_1,Co-culture,62,-3.039299652150596
MC1R,MC1R_3,Co-culture,46,-0.10010744722305628
SEC11C,SEC11C_3,Co-culture,70,-1.3442966615410938
JMJD7,JMJD7_2,Co-culture,74,-0.01823468190621618
LRPAP1,LRPAP1_2,Co-culture,92,-1.75521151065488
UQCRH,UQCRH_3,Co-culture,23,-0.5676978627099029
UQCRFS1,UQCRFS1_1,Co-culture,58,-0.5624897842709158
CDKN2B,CDKN2B_1,Co-culture,62,-0.5198111647281994
CDH19,CDH19_2,Co-culture,70,0.0
WBP2,WBP2_3,Co-culture,48,-0.6381771387517386
CD63,CD63_1,Co-culture,70,-2.4456873983258154
HASPIN,HASPIN_1,Co-culture,32,0.02407575319933594
CDKN2A,CDKN2A_3,Co-culture,40,0.2909025710552741
HNRNPA1,HNRNPA1_2,Co-culture,64,-0.44130725410827953
CGAS,CGAS_1,Co-culture,74,-2.3879422292135475
EEA1,EEA1_2,Co-culture,55,0.11094551795113562
STAT1,STAT1_1,Co-culture,115,-3.0608156031956324
C19orf48,C19orf48_2,Co-culture,68,-0.2954901558285409
MT2A,MT2A_2,Co-culture,54,-0.4873275287204968
GSEC,GSEC_3,Co-culture,39,0.03337594491101198
TAPBPL,TAPBPL_3,Co-culture,65,-0.8154036065043213
IRF3,IRF3_2,Co-culture,78,-0.930017780685619
TSC22D3,TSC22D3_3,Co-culture,93,0.016938223807225632
SCARB2,SCARB2_3,Co-culture,79,-1.1683508477357756
SDC3,SDC3_3,Co-culture,72,-1.2817771545613255
LGALS3BP,LGALS3BP_3,Co-culture,53,-1.3445044293278032
EEA1,EEA1_3,Co-culture,66,-1.4932441643567813
LCP1,LCP1_1,Co-culture,77,-0.6875422908288497
SHMT2,SHMT2_3,Co-culture,50,-0.2891879708339254
LRPAP1,LRPAP1_3,Co-culture,70,-1.1523556998836548
CDKN2B,CDKN2B_2,Co-culture,76,0.08723105361695978
LY96,LY96_2,Co-culture,80,0.3003405094308122
CD151,CD151_3,Co-culture,69,-1.131003285930429
CTSA,CTSA_3,Co-culture,54,-2.040439884740419
SERPINF1,SERPINF1_2,Co-culture,44,-0.08895250914066588
LINC00518,LINC00518_3,Co-culture,56,0.0
HNRNPC,HNRNPC_2,Co-culture,40,-0.16256554228452247
TTLL1,TTLL1_2,Co-culture,49,0.6744643291528571
HLA-A,HLA-A_3,Co-culture,87,-0.1258481930622219
UCN2,UCN2_1,Co-culture,59,-0.012430119405211264
NPC2,NPC2_2,Co-culture,64,-1.7084599363078863
NT5E,NT5E_2,Co-culture,90,-1.1278604495592914
C1QBP,C1QBP_1,Co-culture,35,-1.69765223149542
HASPIN,HASPIN_3,Co-culture,37,-1.7455012937727863
TFAP2A,TFAP2A_3,Co-culture,81,-0.45237413741178284
TM4SF1,TM4SF1_1,Co-culture,86,-0.9924812931763168
LINC00518,LINC00518_2,Co-culture,68,0.0
TIMP3,TIMP3_1,Co-culture,57,-0.4743653233175022
CORO1A,CORO1A_1,Co-culture,51,-0.3117430663579604
STAT3,STAT3_1,Co-culture,47,-0.6307765800585493
PABPC1,PABPC1_3,Co-culture,27,-0.7245068389561066
FOXM1,FOXM1_3,Co-culture,32,-0.7842875810414286
XAGE1A,XAGE1A_2,Co-culture,34,-0.15636527587146856
RNF213,RNF213_3,Co-culture,64,-0.5082764221821234
IRF4,IRF4_2,Co-culture,53,0.0
BOLA2,BOLA2_3,Co-culture,39,-0.08895250914066588
SLC19A1,SLC19A1_2,Co-culture,52,-0.1136084136055125
CKS1B,CKS1B_1,Co-culture,58,-1.3205340921439885
TAPBP,TAPBP_3,Co-culture,51,-1.065982204268634
CD63,CD63_3,Co-culture,63,-1.0557835397341775
GRN,GRN_2,Co-culture,59,-1.4100443012802557
ITGA3,ITGA3_3,Co-culture,48,-0.4698247136170906
NME1,NME1_1,Co-culture,46,-0.5544425099214704
SERPINE2,SERPINE2_1,Co-culture,52,-2.1628285999454664
SP100,SP100_2,Co-culture,69,-0.6007785630693947
SSR2,SSR2_1,Co-culture,38,-0.8711898728499887
PFN1,PFN1_2,Co-culture,27,-1.011017006150661
PIK3IP1,PIK3IP1_3,Co-culture,59,-0.10610330559348191
FBXO32,FBXO32_3,Co-culture,53,0.40386509510503654
NDUFA13,NDUFA13_3,Co-culture,27,-0.2743305854145385
RTP4,RTP4_3,Co-culture,69,-0.0007809979057620376
TTLL1,TTLL1_3,Co-culture,87,-1.23159854577019
SPINT1,SPINT1_1,Co-culture,48,-0.17273752849847418
ACTA2,ACTA2_3,Co-culture,75,-0.38872725275815867
FMN1,FMN1_3,Co-culture,97,0.10788456107938874
CDC123,CDC123_2,Co-culture,46,-0.422640194204018
TOP1MT,TOP1MT_3,Co-culture,62,-0.1667983333898727
SOX4,SOX4_1,Co-culture,62,-0.08210913689290729
SLIRP,SLIRP_3,Co-culture,77,-0.28727203097582804
HLA-F,HLA-F_2,Co-culture,88,-0.9798565901367494
GAA,GAA_1,Co-culture,76,-1.7137133799550481
TMEM173,TMEM173_2,Co-culture,83,-0.14253728688972853
TAPBP,TAPBP_2,Co-culture,59,-1.3346929640273848
SET,SET_1,Co-culture,55,-0.8114152741080981
FKBP4,FKBP4_2,Co-culture,46,-1.0808443795063543
PYGB,PYGB_2,Co-culture,40,-0.11408302610355402
MIA,MIA_3,Co-culture,65,-0.6761030960349729
HLA-F,HLA-F_1,Co-culture,78,-0.8971444817250532
ATP5MD,ATP5MD_1,Co-culture,72,-0.7451278646178919
SINHCAF,SINHCAF_2,Co-culture,32,-1.3927016834526347
DDR1,DDR1_2,Co-culture,60,-1.2496878264054654
GPATCH4,GPATCH4_3,Co-culture,43,-0.5493401490587942
EMP1,EMP1_3,Co-culture,67,-0.8207274499892384
CHCHD2,CHCHD2_1,Co-culture,61,-0.6207274706618766
S100A6,S100A6_2,Co-culture,46,-0.9707768941169157
ST6GALNAC2,ST6GALNAC2_2,Co-culture,66,-0.054026856742280104
EVA1A,EVA1A_3,Co-culture,62,-0.4145943749247324
C1QBP,C1QBP_3,Co-culture,39,-2.0468352357271073
SEC11C,SEC11C_1,Co-culture,60,-0.6708131446725464
NGFR,NGFR_2,Co-culture,67,-0.13980508990883736
VAT1,VAT1_2,Co-culture,51,-1.676768615199006
TIMP2,TIMP2_3,Co-culture,42,-0.6703819155208658
CD44,CD44_2,Co-culture,101,-1.77757751283065
S100A6,S100A6_3,Co-culture,100,-1.1638881271833126
HLA-B,HLA-B_3,Co-culture,28,-0.7453692953175814
APOE,APOE_3,Co-culture,80,0.02013967259037892
CKS1B,CKS1B_3,Co-culture,48,-0.9194114965457282
SP100,SP100_3,Co-culture,66,-1.696044922429613
CD59,CD59_3,Co-culture,54,-0.6917276633924818
CTSO,CTSO_3,Co-culture,66,-2.909273968177091
CSPG4,CSPG4_2,Co-culture,91,-0.054026856742280104
CD58,CD58_3,Co-culture,79,-0.9078527490145564
PSMB8-AS1,PSMB8-AS1_1,Co-culture,65,-0.5542349670525224
CDK4,CDK4_1,Co-culture,44,-0.8850736158957666
RNASEH2A,RNASEH2A_1,Co-culture,18,-1.7455012937727863
PIK3IP1,PIK3IP1_2,Co-culture,57,-0.10610330559348191
MYC,MYC_2,Co-culture,24,0.8418253511189423
LRPAP1,LRPAP1_1,Co-culture,56,-1.8501056318641755
CD47,CD47_2,Co-culture,41,-0.40752573104893675
TPRKB,TPRKB_1,Co-culture,18,-0.11676749092320803
SLC22A18,SLC22A18_3,Co-culture,82,-0.41716207233754954
RBP7,RBP7_1,Co-culture,68,-0.07159536808071434
GRN,GRN_3,Co-culture,59,-1.9149214285358658
ISYNA1,ISYNA1_2,Co-culture,31,-1.1006864528793314
NME1,NME1_3,Co-culture,47,-1.2962369112344696
CD47,CD47_1,Co-culture,58,-0.5245948437698557
PROS1,PROS1_1,Co-culture,53,-2.2753941096697043
DLL3,DLL3_1,Co-culture,48,0.6536174152854697
CDK6,CDK6_2,Co-culture,10,-1.4392608261010384
CXCR4,CXCR4_3,Co-culture,49,-0.13980508990883736
LGALS3BP,LGALS3BP_2,Co-culture,37,-0.8685919076849453
NPC1,NPC1_1,Co-culture,72,-0.38276408599201633
HLA-C,HLA-C_2,Co-culture,21,-1.5431564218230842
DDX39A,DDX39A_2,Co-culture,49,-1.1385098329372123
FOS,FOS_3,Co-culture,64,-1.0313260531856205
MRPL47,MRPL47_1,Co-culture,16,-0.4208736754688687
SERPINA3,SERPINA3_1,Co-culture,64,-0.01823468190621618
ROMO1,ROMO1_3,Co-culture,13,-0.24109996315837143
PRELID3B,PRELID3B_2,Co-culture,19,-0.6842177075395841
ARMC6,ARMC6_2,Co-culture,58,-0.10271709197523642
TP53,TP53_2,Co-culture,54,1.277763407069103
JAK1,JAK1_2,Co-culture,126,-2.33926499672462
NOLC1,NOLC1_3,Co-culture,37,-0.2732380958310835
HASPIN,HASPIN_2,Co-culture,39,0.3603082978639714
ACSL3,ACSL3_2,Co-culture,34,-1.2200726389991365
GPNMB,GPNMB_3,Co-culture,42,-0.9186665396659014
C6orf226,C6orf226_3,Co-culture,52,-0.997419901408669
JPT1,JPT1_1,Co-culture,49,-2.114017180887419
TPP1,TPP1_1,Co-culture,45,-0.40200966806237803
GPATCH4,GPATCH4_2,Co-culture,36,-1.3615662724472224
XAGE1A,XAGE1A_1,Co-culture,47,-0.15636527587146856
PFN1,PFN1_1,Co-culture,36,-1.226133745791592
NEAT1,NEAT1_2,Co-culture,65,-0.2224887554597269
TIMP1,TIMP1_1,Co-culture,91,-0.19701581942594648
FSTL3,FSTL3_2,Co-culture,77,-0.761828825336701
MFGE8,MFGE8_3,Co-culture,90,-0.709636823461026
PAICS,PAICS_2,Co-culture,23,-0.6490159616516387
ISYNA1,ISYNA1_1,Co-culture,46,-0.9164168697324707
TAPBPL,TAPBPL_1,Co-culture,67,-0.6979241730275992
RB1,RB1_1,Co-culture,88,-0.9737583958479583
ATP5MD,ATP5MD_2,Co-culture,50,-0.8241432503321408
ST6GALNAC2,ST6GALNAC2_1,Co-culture,55,-0.054026856742280104
CCR10,CCR10_3,Co-culture,62,0.7109258157134005
TFAP2A,TFAP2A_2,Co-culture,66,-0.21266926408126646
JAK1,JAK1_1,Co-culture,133,-2.3039221012105995
TXNDC17,TXNDC17_1,Co-culture,41,-0.3807163831677933
UQCRFS1,UQCRFS1_3,Co-culture,37,-0.8382345761735918
EIF3K,EIF3K_2,Co-culture,47,-0.930379887124445
CTPS1,CTPS1_2,Co-culture,34,-0.31866537006643275
CDK6,CDK6_3,Co-culture,19,-1.3634120345084064
CORO1A,CORO1A_3,Co-culture,65,-0.8841525046657143
IDH2,IDH2_3,Co-culture,90,-4.59011997157286
CCND1,CCND1_2,Co-culture,49,-0.5075035815567762
SERPINF1,SERPINF1_1,Co-culture,95,-0.08895250914066588
AGA,AGA_2,Co-culture,67,-2.533280347444338
SAT1,SAT1_3,Co-culture,37,1.0707275479284923
PUF60,PUF60_3,Co-culture,36,-0.6725587920275703
RNF213,RNF213_2,Co-culture,40,-1.086914987820705
PET100,PET100_2,Co-culture,21,-1.6824160107282156
MRPL47,MRPL47_2,Co-culture,44,-1.180861112686405
TRIM22,TRIM22_1,Co-culture,40,-0.43326032413711624
ARMC6,ARMC6_3,Co-culture,49,-1.107724796369831
HLA-F,HLA-F_3,Co-culture,44,-1.0073026717254898
PPIA,PPIA_3,Co-culture,77,-0.03151943253971
CCND2,CCND2_3,Co-culture,60,-0.10610330559348191
FRZB,FRZB_3,Co-culture,32,-0.5056313840890387
PSAP,PSAP_3,Co-culture,85,-0.5184470759490163
RUVBL2,RUVBL2_1,Co-culture,13,-1.538884860548903
CD63,CD63_2,Co-culture,45,-1.783686059502209
TOP1MT,TOP1MT_1,Co-culture,76,-1.884827906090907
EEF1G,EEF1G_2,Co-culture,21,1.3788868263583312
APOE,APOE_2,Co-culture,50,-0.41652091300027905
EMP1,EMP1_1,Co-culture,52,0.19126992153852837
PROS1,PROS1_3,Co-culture,40,-0.6878628928203429
KLF4,KLF4_2,Co-culture,45,-1.3476799326006224
RRS1,RRS1_1,Co-culture,25,0.02702180160778401
BOLA2B,BOLA2B_2,Co-culture,27,-0.07395526861687594
E2F1,E2F1_3,Co-culture,42,-0.7367314522995068
STX7,STX7_3,Co-culture,69,-1.4276611039274385
SAE1,SAE1_1,Co-culture,19,-1.110716881595216
CCND1,CCND1_3,Co-culture,39,-1.1043685959158234
CMSS1,CMSS1_2,Co-culture,50,-0.8889905696990698
CST3,CST3_3,Co-culture,31,-1.182975571730996
FKBP4,FKBP4_1,Co-culture,47,-1.9570797216798617
SCARB2,SCARB2_1,Co-culture,50,-2.328296963152919
IDH2,IDH2_1,Co-culture,71,-1.8816138614294418
SSR2,SSR2_3,Co-culture,33,-1.2582699306091303
APOD,APOD_2,Co-culture,61,1.1248656126704448
LAMP2,LAMP2_3,Co-culture,61,-1.5343567524185275
CCT3,CCT3_3,Co-culture,18,-0.9587113552649376
KCNN4,KCNN4_2,Co-culture,62,-0.6039273001111075
MT2A,MT2A_3,Co-culture,40,-0.3181174649862952
NOLC1,NOLC1_1,Co-culture,21,-0.2638692308924709
CST3,CST3_1,Co-culture,27,-1.3078568188533197
GPI,GPI_2,Co-culture,14,-1.4500610972145893
LGALS3,LGALS3_3,Co-culture,39,-1.6457453778274895
NEAT1,NEAT1_1,Co-culture,61,0.12413328584149382
TAPBP,TAPBP_1,Co-culture,46,-0.930318426542431
FOXM1,FOXM1_2,Co-culture,11,-0.1503792041258724
FOS,FOS_2,Co-culture,46,0.33612306404098125
TMED10,TMED10_3,Co-culture,18,-1.3338918015799732
P2RX4,P2RX4_1,Co-culture,29,-0.3773213147222906
HNRNPA1,HNRNPA1_1,Co-culture,46,-1.0142220416714327
PFN1,PFN1_3,Co-culture,29,0.055805043463377814
S100B,S100B_1,Co-culture,44,-0.01823468190621618
NONO,NONO_2,Co-culture,42,-1.767826641080895
SLIRP,SLIRP_2,Co-culture,37,-0.45641535180062287
ACSL3,ACSL3_3,Co-culture,42,-1.0679461576975737
DDX17,DDX17_2,Co-culture,61,-0.22197403608435357
EVA1A,EVA1A_2,Co-culture,46,-0.5781751070624159
NDUFA13,NDUFA13_2,Co-culture,32,-0.1312195089818134
SINHCAF,SINHCAF_1,Co-culture,34,-1.1284498460995194
GAA,GAA_3,Co-culture,72,-0.9658916863131802
UQCRH,UQCRH_2,Co-culture,30,-1.0109185576433894
BOLA2,BOLA2_2,Co-culture,30,-0.08895250914066588
SHMT2,SHMT2_2,Co-culture,38,-1.7536905128756604
APOD,APOD_1,Co-culture,48,-0.01823468190621618
PSMB8-AS1,PSMB8-AS1_3,Co-culture,47,-0.8051294034370748
FRZB,FRZB_2,Co-culture,54,-0.5056313840890387
TIMM50,TIMM50_1,Co-culture,21,-0.5193529121160425
LGALS3,LGALS3_1,Co-culture,38,-1.015734088272657
SNRPG,SNRPG_2,Co-culture,15,-0.2285460049750623
FKBP4,FKBP4_3,Co-culture,47,-2.14297507148532
CTPS1,CTPS1_3,Co-culture,17,-1.202434935730606
NSG1,NSG1_2,Co-culture,53,-0.8077278275094688
TPRKB,TPRKB_3,Co-culture,13,-0.9579832013463726
PPIA,PPIA_2,Co-culture,11,-1.054770617905635
HLA-E,HLA-E_3,Co-culture,50,-1.768437787710558
PUF60,PUF60_2,Co-culture,18,-1.120406864915585
MYC,MYC_1,Co-culture,22,-0.089305626838378
CDC123,CDC123_3,Co-culture,10,-0.9535994260144359
P2RX4,P2RX4_3,Co-culture,19,-2.2524706159604366
ILF2,ILF2_3,Co-culture,13,-0.9290944345338089
TMED10,TMED10_1,Co-culture,13,-1.408855619776388
DDX39A,DDX39A_1,Co-culture,33,-0.6213116470421457
DNMT1,DNMT1_3,Co-culture,20,-0.5718750561111037
HLA-B,HLA-B_2,Co-culture,29,-0.7232931855267161
PET100,PET100_3,Co-culture,18,-0.14530410175838476
CCT3,CCT3_2,Co-culture,16,-1.2836944942175261
CCND1,CCND1_1,Co-culture,25,-1.7436456108611609
NACA,NACA_3,Co-culture,12,-0.6221108500630886
EIF4A1,EIF4A1_3,Co-culture,14,-0.3894653634319189
PAICS,PAICS_1,Co-culture,25,-1.5725666839808374
MYC,MYC_3,Co-culture,21,0.3464877869871439
UQCRFS1,UQCRFS1_2,Co-culture,12,-0.33697279120433293
