perturbation,condition,cpm_pert,cpm_ctrl,n_cells,self_log2fc
HLA-B,Control,80.7582880212039,104.37487921166552,98,-0.36609408507473346
IFNGR1,Control,18.74194398697979,50.36343282911602,133,-1.3794775681099813
CDKN1A,Control,20.483085698079318,22.59683823955371,145,-0.13539233656551883
EMP1,Control,8.006025105751014,9.463989447193159,137,-0.21647058646518885
CD63,Control,732.1119950380904,1859.382085289181,103,-1.3434934365386522
PIK3IP1,Control,2.2563159925421234,0.06253737520171691,114,1.615727115812481
SPESP1,Control,28.718088880504528,33.97864052626619,152,-0.23513287720803852
PPIA,Control,961.9865430890942,1220.938021854853,108,-0.3435835689129169
SAT1,Control,500.57276535834217,347.99964720582074,137,0.5232334360557235
POLD2,Control,61.219923074000114,125.15813357036944,32,-1.0197847053393612
TPP1,Control,8.135930477311796,11.736180746188873,128,-0.4793091380020528
DDX17,Control,101.96602314776503,151.15283586254978,107,-0.5633528697223523
HNRNPA1,Control,276.01045119897157,516.7463312917869,112,-0.9023050175887194
CXCR4,Control,0.0,0.06253737520171691,105,-0.08751358955133781
ACTA2,Control,0.0,1.2715932957682439,157,-1.1837045590059894
RAB27A,Control,26.39541517025312,40.94113496539067,131,-0.6144314351368837
NDUFA13,Control,58.60953920776071,109.69055610381146,81,-0.892917013345637
KCNN4,Control,10.432798109055344,19.15728260345928,120,-0.8181226249464434
PFDN4,Control,177.90239539774237,230.22092390925386,160,-0.37009925340538335
UQCRH,Control,658.4975890899209,1046.688048751136,60,-0.6677699248577156
PUF60,Control,122.87818791017087,150.38154156839528,45,-0.2892671191243808
CSPG4,Control,0.5345075394960984,0.3126868760085845,143,0.22525291265640754
CD58,Control,21.912744702750487,45.33959702124476,128,-1.0160952097889266
TM4SF1,Control,95.18419281239652,123.61554498206041,146,-0.37361232452401566
IRF3,Control,51.3820196768071,55.845876055133196,131,-0.11798400476630556
GRN,Control,29.773060571383205,89.67859603926205,106,-1.5590941184978997
CCR10,Control,2.850497126698896,0.4377616264120184,116,1.4212202159930118
JAK2,Control,2.495148184355521,4.210849930248939,161,-0.5761650834362155
TSC22D3,Control,5.157761868947835,5.190602141742503,169,-0.007673665979098012
CTSA,Control,64.48561970680538,151.88243857323647,146,-1.223172657127741
TIMP1,Control,915.2570790098957,1712.9403983584941,135,-0.9034925964617114
SOX4,Control,53.59100398439545,83.48739589429208,169,-0.6300729015227291
A2M,Control,0.0,0.020845791733905637,146,-0.029764950149690127
CTSO,Control,2.453610807272306,3.4187098443605244,168,-0.35551968679215595
TFAP2A,Control,36.54977791200737,52.8857736289186,122,-0.5211000627001638
VDAC2,Control,96.23433241517307,269.28593761859304,135,-1.474948744314131
GSN,Control,11.491886727970053,20.59564223309877,163,-0.7897488288305667
IDI2-AS1,Control,1.8678833643817057,0.12507475040343383,132,1.3499654935826926
RB1,Control,9.952653804046465,21.929772904068727,157,-1.065941592538379
C6orf226,Control,6.358228978900217,13.257923542763985,109,-0.9543334127373243
KLF4,Control,4.773233886414763,3.4604014278283355,121,0.37220611742426035
MIA,Control,0.7047891834594436,1.3966680461716778,110,-0.49143675569286643
C1QBP,Control,267.3518796322426,781.6963442297274,79,-1.54432671314358
CTSB,Control,96.34025249420777,251.44193989436977,133,-1.3748431929707092
NGFR,Control,0.0,0.04169158346781127,120,-0.05892819809246811
CYP27A1,Control,0.5564040717649972,2.0637333816566583,148,-0.9770740939126855
LINC00518,Control,0.0,0.020845791733905637,134,-0.029764950149690127
CST3,Control,223.3160573550074,414.2684191279067,95,-0.8885112625364512
JAK1,Control,26.207877389066425,85.63451244288434,135,-1.670917453679599
HLA-DRB5,Control,0.0,0.0,150,0.0
RTP4,Control,0.9158532363505812,0.8963690445579423,165,0.014747299380525018
SERPINE2,Control,241.80335958626952,605.299254577418,112,-1.3202416648945727
SSR2,Control,239.88619352679194,422.7109647801385,93,-0.8147287558111656
APOE,Control,7.599277250277519,9.589064197596592,140,-0.3002877828455384
CCND1,Control,647.8433087270763,1155.6698479359945,86,-0.8340351057334212
CD44,Control,495.35718497059526,595.8978025054265,158,-0.2661052663629021
SDC3,Control,3.786891422880272,4.294233097184561,131,-0.14533263297776042
EIF2S3,Control,55.70099704784715,62.24553411744223,6,-0.15758950788854917
WBP2,Control,23.35600549181751,36.22998603352799,123,-0.6121875316207803
NONO,Control,51.04802863227206,129.86928250223212,121,-1.330211082934769
MFGE8,Control,17.803981907406175,24.681417412944274,162,-0.4496866325860918
TAPBPL,Control,0.5917720020830375,1.8135838808497904,140,-0.8217752689902497
PTMA,Control,1732.7855717502857,4018.443272544989,109,-1.2130702072198205
GPNMB,Control,1.2724354223117733,5.107218974806881,126,-1.4262762773138784
MRPL47,Control,98.44761163721937,203.10054886344264,70,-1.0372714336410418
CD59,Control,154.10965273781113,245.41750608327104,150,-0.6678162816095989
VAT1,Control,28.65455673846846,67.85305209386284,115,-1.215266799792607
CD274,Control,6.819125788073969,9.630755781064405,141,-0.4431649450753433
TXNDC17,Control,99.7195596295112,210.29234701164006,133,-1.0688966335757544
TIMP3,Control,49.11999114456498,91.51302571184574,115,-0.8842703497293131
B2M,Control,527.5604993288835,1211.1821913233853,132,-1.1974660347281474
IDH2,Control,8.540017573458384,18.531908851442108,158,-1.0337691216497702
GSEC,Control,2.7135618393607572,6.107816978034351,91,-0.9366029306179645
STX7,Control,11.668094063507104,18.30260514236915,134,-0.607596086588388
HLA-F,Control,2.4510014179043202,5.690901143356239,131,-0.9551854623484843
XAGE1A,Control,0.0,0.229303709072962,99,-0.29784138881359057
UCN2,Control,5.382702454973694,3.4604014278283355,105,0.5169938388044031
GAA,Control,6.027727546714889,5.190602141742503,123,0.18297851856140718
CITED1,Control,0.0,0.5628363768154523,147,-0.64416674141262
SP100,Control,36.03220452115563,85.55112927594874,132,-1.2247722078109615
ST3GAL6-AS1,Control,1.141630053639488,0.5628363768154523,133,0.4545425482579128
TOP1MT,Control,7.842077450769851,16.363946511115923,140,-0.973637607033269
FMN1,Control,9.966600813274626,11.69448916272106,143,-0.21108592083170244
NMRK1,Control,2.871112872060339,11.944638663527929,139,-1.7415344156607042
TGFB1,Control,18.4947511409558,83.82092856203457,164,-2.1213345384497844
HSPA1A,Control,184.10975795989262,297.1776069585587,124,-0.6877909676655319
PSAP,Control,57.31182384861478,82.0907278481204,166,-0.5108990472641448
CCND2,Control,0.0,0.06253737520171691,100,-0.08751358955133781
FBXO32,Control,14.422788467307576,33.165654648643866,125,-1.147483139940212
NEAT1,Control,273.6618363797649,336.28431225136575,104,-0.2963087521323005
APOD,Control,0.0,0.12507475040343383,121,-0.1700208578456239
TIMM50,Control,57.94429923160427,82.67441001666977,92,-0.5054341831668925
MDH2,Control,113.94542209616603,230.09584915885043,122,-1.0075423376598804
SLC5A3,Control,18.61850679575498,16.822553929261847,158,0.13851115288213955
BOLA2,Control,0.0,0.1042289586695282,85,-0.14303934176240313
HLA-A,Control,321.5796143334809,457.75274068483384,156,-0.5080615077905901
SET,Control,211.24584377370718,773.191261202294,107,-1.866953720080628
SLC22A18,Control,6.8757064788407005,10.964886452034364,166,-0.603325456335466
TMEM173,Control,3.304161260691715,5.002990016137352,144,-0.47994913730099875
TTLL1,Control,0.5021328091066807,1.0631353784291875,167,-0.4578261183368019
SLC26A2,Control,18.8428488738748,25.682015416171744,137,-0.4272484731307804
SGK1,Control,27.98417154750956,41.60820030087565,107,-0.5558658660240513
CTSD,Control,39.82908783826365,168.80922146116782,169,-2.0562455645113134
P2RX4,Control,1.183668686400002,4.210849930248939,69,-1.2547647242159998
AHNAK,Control,183.24440873330136,258.73796700123677,144,-0.4954360757837212
PROS1,Control,2.1278814174243696,5.73259272682405,116,-1.105976375855238
EVA1A,Control,56.715277961577286,58.84767006481561,109,-0.052341813578851114
MC1R,Control,1.1725597565765946,1.8135838808497904,134,-0.37301311570859974
FBL,Control,79.46610549861302,99.20512286165692,52,-0.3165031523015698
LCP1,Control,0.5760922853753789,3.0017940096824116,145,-1.3442948953626817
LY96,Control,0.0,1.438359629639489,113,-1.2859109223627359
NPC1,Control,13.03109218595569,21.929772904068727,146,-0.7085947532707786
NSG1,Control,0.5712336991323531,2.7933360923433557,135,-1.2715694237389992
STAT3,Control,24.95301078307269,51.7601008752877,123,-1.0235454090551646
RBP7,Control,0.0,0.3335326677424902,128,-0.41525316723065586
CDK4,Control,56.631114125144855,95.07765609834361,126,-0.7373530454315111
SCARB2,Control,32.813474150013825,107.37667322134793,141,-1.680384109301703
TAPBP,Control,36.46899991991122,70.62554239447229,123,-0.9347766875219546
FSTL3,Control,13.815648240842881,33.20734623211168,157,-1.2071844347058263
DDR1,Control,10.483923951013516,17.051857638334813,112,-0.6525316243819066
SERPINF1,Control,0.0,0.12507475040343383,148,-0.1700208578456239
JPT1,Control,297.7000823390861,617.3064306161476,99,-1.049624374900453
AGA,Control,13.241647399110162,30.01794009682412,138,-1.1229868407387964
JMJD7,Control,0.0,0.0,145,0.0
AEBP1,Control,7.221214194211186,21.70046919499577,152,-1.465298729896695
FGFR1,Control,42.669137412909244,72.06390202411178,165,-0.7425447696483627
PYGB,Control,26.689881184599145,49.50875536802589,132,-0.8671746282407186
CMSS1,Control,37.530347815733755,108.3355796411076,124,-1.5046958402431605
ARMC6,Control,12.465179986200313,20.574796441364864,122,-0.6801134334453386
FOXM1,Control,24.402697061164424,56.387866640214746,43,-1.1757640647837944
NPC2,Control,151.35431007314767,298.5951207964643,121,-0.9755838141114318
S100B,Control,1.028353770150592,0.020845791733905637,147,0.9905443481140288
SHMT2,Control,24.849183207347973,56.80478247489285,110,-1.1610701645282169
DNMT1,Control,120.43438782091405,201.39119394126237,51,-0.7369694974092732
SDCBP,Control,67.5984347691459,152.19512544924507,147,-1.159122829064363
EIF4A1,Control,273.8119469240984,369.1789716074688,30,-0.4297782198501902
DLL3,Control,14.534806898483623,14.425287879862701,124,0.010206894082982608
FKBP4,Control,71.01345361332487,207.95761833744263,106,-1.5368719961685813
PSMB8-AS1,Control,0.5872114736424258,1.3341306709699607,126,-0.5563909694536454
CDH19,Control,0.0,0.0,156,0.0
CDKN2A,Control,298.63532705093087,154.65492887384593,108,0.9448564667608574
ITGA3,Control,133.54308500551534,231.40913403808648,145,-0.7885985260655582
LGALS3,Control,405.7013321080401,707.0892556140792,122,-0.7999615092376975
ENPP1,Control,1.2432592040032946,3.5854761782317692,131,-1.0314752275847767
BOLA2B,Control,4.657701626081266,4.606919973193146,95,0.013007615825527556
HLA-C,Control,136.59044635196796,476.55564482881675,94,-1.7952885464984716
TMED10,Control,81.17858821068342,155.94736796134805,51,-0.9334463838274633
